Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,No,Non-Travel,158,Software,7,3,3,Male,2,3,Developer,1,Married,2,No,20,4,1,2,15,1,2,12,4,10,11
38,No,Travel_Rarely,985,Human Resources,33,5,1,Female,2,4,Healthcare Representative,3,Single,8,No,2,1,3,4,5,4,3,1,1,1,1
59,Yes,Non-Travel,1273,Sales,5,2,4,Female,1,3,Manufacturing Director,2,Married,7,Yes,39,3,2,2,9,5,1,6,6,4,3
52,Yes,Travel_Rarely,480,Support,2,5,4,Female,2,4,Human Resources,1,Married,4,No,16,3,2,2,22,4,4,10,9,5,6
32,No,Non-Travel,543,Human Resources,7,5,2,Male,3,3,Manager,2,Divorced,6,Yes,42,3,4,2,30,3,4,29,27,9,7
19,Yes,Non-Travel,779,Hardware,43,1,2,Female,4,3,Research Director,3,Married,3,Yes,15,4,3,1,33,4,2,16,4,14,3
42,Yes,Non-Travel,934,Support,26,4,2,Female,3,5,Sales Executive,4,Divorced,3,No,45,4,1,1,4,3,4,2,1,1,2
30,No,Travel_Rarely,380,Support,19,3,4,Male,1,4,Human Resources,4,Single,2,Yes,35,3,2,1,2,2,2,2,2,2,2
41,No,Travel_Frequently,1464,Software,16,1,3,Male,1,2,Manager,4,Divorced,7,No,1,1,3,2,8,1,2,2,1,2,2
45,No,Travel_Frequently,1020,Human Resources,17,5,4,Female,2,4,Manager,2,Married,4,Yes,32,1,3,4,6,4,4,5,3,4,1
36,No,Travel_Rarely,987,Sales,33,4,3,Male,3,1,Human Resources,3,Married,0,Yes,47,4,2,1,38,3,4,24,19,8,6
23,No,Travel_Frequently,135,Human Resources,20,4,2,Female,2,2,Manufacturing Director,2,Divorced,8,Yes,44,1,2,4,16,5,3,8,6,7,6
24,Yes,Non-Travel,1086,Support,15,1,4,Female,3,1,Manufacturing Director,4,Married,7,No,17,1,3,1,30,2,2,15,3,8,4
39,Yes,Non-Travel,673,Research & Development,16,2,2,Female,4,2,Sales Executive,2,Married,1,No,47,1,4,1,14,4,2,13,9,11,5
42,Yes,Travel_Rarely,145,Human Resources,31,3,3,Male,3,1,Developer,4,Married,4,Yes,48,2,1,4,2,6,2,1,1,1,1
44,Yes,Travel_Frequently,717,Software,10,2,3,Female,1,5,Sales Representative,4,Divorced,6,Yes,42,2,1,2,27,3,1,27,13,18,18
50,Yes,Travel_Frequently,460,Research & Development,10,4,4,Male,2,5,Manager,3,Divorced,7,No,19,2,1,2,14,3,3,5,3,4,5
42,No,Travel_Rarely,1422,Software,26,4,4,Female,4,5,Developer,3,Single,3,Yes,41,4,2,1,5,4,3,4,1,2,3
49,No,Travel_Frequently,129,Research & Development,41,1,3,Female,2,1,Manager,1,Divorced,0,No,17,2,3,4,7,1,3,6,4,3,4
58,Yes,Travel_Rarely,637,Support,5,4,2,Female,3,5,Manager,2,Married,7,No,46,1,3,3,39,6,4,17,3,13,4
42,Yes,Travel_Frequently,699,Software,27,1,3,Female,3,1,Research Scientist,3,Single,0,Yes,43,3,2,3,20,2,3,5,5,3,2
46,Yes,Travel_Frequently,198,Hardware,4,3,2,Male,3,3,Manufacturing Director,3,Single,3,No,33,3,4,3,18,3,4,9,5,7,3
34,Yes,Travel_Rarely,212,Support,50,4,2,Male,1,1,Manager,3,Single,3,No,28,4,1,1,36,6,1,30,8,11,4
38,No,Travel_Frequently,564,Research & Development,14,2,2,Female,3,1,Healthcare Representative,1,Single,4,No,44,1,4,2,8,4,2,3,2,2,2
22,Yes,Non-Travel,505,Hardware,17,2,3,Male,4,5,Manufacturing Director,4,Divorced,2,No,0,4,2,4,15,1,2,6,1,1,2
58,Yes,Travel_Frequently,284,Support,48,3,2,Female,4,3,Human Resources,4,Married,0,No,38,3,2,2,22,4,2,1,1,1,1
51,Yes,Travel_Rarely,531,Sales,18,2,3,Male,2,4,Developer,2,Single,2,No,1,4,3,1,18,3,3,17,17,4,16
38,No,Non-Travel,1287,Software,34,3,3,Male,1,4,Manufacturing Director,2,Single,0,No,15,3,1,4,10,5,1,5,2,5,2
52,Yes,Non-Travel,1047,Software,26,2,1,Female,3,2,Developer,2,Divorced,2,No,2,3,4,4,9,6,2,1,1,1,1
51,No,Travel_Rarely,345,Support,24,3,3,Female,4,1,Manager,4,Married,0,Yes,45,1,3,1,3,5,3,2,1,2,2
35,No,Travel_Rarely,133,Support,10,2,3,Male,4,5,Research Scientist,2,Married,5,No,15,3,2,4,18,4,2,10,9,5,2
56,No,Non-Travel,633,Hardware,10,1,4,Female,2,5,Sales Representative,2,Married,7,Yes,6,2,1,2,10,5,3,2,1,1,2
26,No,Non-Travel,1390,Software,21,1,3,Female,4,2,Sales Executive,2,Divorced,0,Yes,3,4,4,4,28,3,3,1,1,1,1
42,No,Travel_Rarely,623,Sales,3,4,3,Male,3,3,Healthcare Representative,3,Divorced,5,Yes,4,3,2,3,26,3,2,6,1,5,6
48,No,Travel_Frequently,983,Support,25,1,4,Male,3,5,Research Scientist,4,Divorced,0,No,26,4,1,4,7,5,1,2,1,2,1
40,No,Travel_Rarely,533,Hardware,6,1,3,Male,4,5,Human Resources,4,Single,1,Yes,32,4,4,1,12,3,4,12,8,7,7
24,No,Non-Travel,1274,Human Resources,38,4,3,Female,3,4,Human Resources,1,Divorced,5,No,48,3,1,1,34,2,3,12,4,1,10
22,No,Travel_Frequently,1079,Support,15,1,3,Female,2,1,Sales Representative,1,Divorced,6,No,19,2,2,3,23,1,4,6,4,3,4
58,Yes,Non-Travel,1115,Research & Development,1,2,2,Female,3,5,Developer,4,Married,3,No,3,4,3,1,39,2,3,17,14,7,16
30,Yes,Travel_Rarely,435,Research & Development,40,4,4,Male,1,3,Laboratory Technician,3,Divorced,1,Yes,23,1,4,4,9,1,2,4,2,4,1
38,No,Travel_Frequently,1441,Software,33,2,2,Male,2,2,Human Resources,3,Married,7,No,43,4,2,3,3,5,2,1,1,1,1
60,Yes,Travel_Rarely,1277,Research & Development,16,5,4,Male,3,3,Sales Representative,4,Single,7,No,18,4,3,4,34,2,2,7,4,7,4
36,Yes,Non-Travel,735,Hardware,22,5,1,Male,1,1,Sales Executive,1,Divorced,4,No,22,2,2,3,39,6,4,12,3,4,8
